onset	duration	character	arousal	valence_positive	valence_negative	c_audio	c_context	c_face	c_gesture	c_narrator	c_verbal	d_other	d_self	e_admiration	e_anger/rage	e_contempt	e_disappointment	e_fear	e_fears_confirmed	e_gloating	e_gratification	e_gratitude	e_happiness	e_happy-for	e_hate	e_hope	e_love	e_pity/compassion	e_pride	e_relief	e_remorse	e_resent	e_sadness	e_satisfaction	e_shame
8.898	3.0	MRSGUMP	0.0	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.898	52.0	MRSGUMP	0.33333333333299997	1.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.33333333333299997	0.666666666667	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88.898	1.0	FORREST	0.0	0.0	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0
89.898	18.0	FORREST	-0.33333333333299997	0.0	1.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.666666666667	0.666666666667	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
143.898	3.0	FORREST	0.0	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.0	0.0
146.898	1.0	FORREST	-0.33333333333299997	0.666666666667	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.666666666667	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.0	0.0
147.898	1.0	FORREST	0.0	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0
180.898	4.0	FORREST	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181.898	1.0	OLDMAN	0.0	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
182.898	2.0	OLDMAN	0.33333333333299997	1.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.666666666667	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184.898	4.0	OLDMAN	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
188.898	3.0	OLDMAN	0.666666666667	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191.898	2.0	OLDMAN	0.666666666667	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200.898	1.0	FORRESTVO	0.0	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201.898	2.0	FORRESTVO	-0.33333333333299997	1.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
203.898	4.0	FORRESTVO	0.0	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217.898	10.0	JENNY	0.666666666667	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
251.898	4.0	JENNY	-0.666666666667	0.0	0.666666666667	0.0	0.33333333333299997	0.0	0.0	0.33333333333299997	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0
295.898	3.0	JENNY	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
298.898	8.0	JENNY	0.33333333333299997	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
306.898	11.0	JENNY	1.0	0.0	1.0	0.33333333333299997	0.0	0.0	0.0	0.666666666667	0.0	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0
317.898	2.0	JENNY	1.0	0.0	1.0	0.666666666667	0.0	0.0	0.0	0.33333333333299997	0.0	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0
332.898	2.0	FORREST	-0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0
334.898	3.0	FORREST	-1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.666666666667	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
356.898	78.0	FORREST	1.0	1.0	0.0	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
402.898	6.0	DAN	0.0	0.666666666667	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
434.898	1.0	FORREST	0.33333333333299997	0.666666666667	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.666666666667	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997
438.898	14.0	DAN	0.0	0.666666666667	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
452.898	14.0	DAN	0.0	0.33333333333299997	0.33333333333299997	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
466.898	1.0	DAN	0.0	0.666666666667	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.33333333333299997	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
