onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
5.738	2.72	ERZAEHLER	1	speech	regular	HS	Auf einem Spielplatz in einem Park schaukelt Forrest Junior.	
8.618	1.44	ERZAEHLER	1	speech	regular	HS	Seine Eltern sitzen auf einer Bank.	
11.618	0.68	JENNY	1	speech	regular	address	Forrest	
14.578	0.88	JENNY	1	speech	regular	HS	Ich bin krank.	
18.658	0.44	FORREST	1	speech	asking	question	Was ist?	
19.138	0.6	FORREST	1	speech	asking	question	Hast du Husten?	
19.778	0.8	FORREST	1	speech	asking	question	Bist du erkältet?	
22.098	1.68	JENNY	1	speech	regular	HS	Ich hab so eine Art Virus.	
24.778	1.32	JENNY	1	speech	regular	HS	Und die Ärzte wissen...	
26.458	2.68	JENNY	1	speech	regular	complex	....wissen nicht, was es ist. Sie können nichts dagegen tun. Es gibt nichts.	
31.258	0.72	GIRL IN BACKGROUND	0	non	regular	none	iiiiiiiigh	
34.458	1.56	FORREST	1	speech	exclamation	imperative	Dann komm doch mit mir nach Haus!	
38.258	0.44	FORREST	1	speech	regular	address	Jenny	
38.738	0.52	FORREST	1	speech	regular	none	Du und...	
39.898	1.0	FORREST	1	speech	regular	none	...der kleine Forrest	
41.098	0.84	FORREST	1	speech	regular	HS	Ihr kommt mit in...	
42.338	1.44	FORREST	1	speech	regular	none	...in mein Haus in Greenbow.	
47.818	2.08	FORREST	1	speech	regular	###	Wenn du krank bist, kann ich für dich Sorgen.	
52.698	0.96	JENNY	1	speech	asking	question	Würdest du mich heiraten?	
53.698	0.52	JENNY	1	speech	regular	address	Forrest	
60.258	0.8	FORREST	1	speech	regular	none	Okay	
61.298	2.36	ERZAEHLER	1	speech	regular	HS	Vor Forrests Haus elegant gekleidete Leute.	
62.458	1.64	###	0	speech	regular	HS	Ja, ich wollte erst ein anderes Kleid.	
63.858	3.8	ERZAEHLER	1	speech	regular	HS;NS	Louise, in gelbem Kleid, geht zu Forrest, der nachdenklich etwas abseits steht.	
67.698	0.56	LOUISE	1	speech	regular	address	Forrest	
69.098	0.88	LOUISE	1	speech	regular	HS	Wir müssen anfangen.	
70.778	2.48	ERZAEHLER	1	speech	regular	HS	Jenny kommt aus dem Haus auf die blumengeschmückte Veranda.	
73.538	1.2	ERZAEHLER	1	speech	regular	HS	Forrest geht ihr entgegen.	
75.298	4.6	ERZAEHLER	1	speech	regular	HS	Er trägt einen hellgrauen Anzug mit einem Sträußchen im Knopfloch und eine dunkle geblümte Krawatte.	
