onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
7.365	2.72	ERZAEHLER	1	speech	regular	HS	Auf einem Spielplatz in einem Park schaukelt Forrest Junior.	
10.245	1.44	ERZAEHLER	1	speech	regular	HS	Seine Eltern sitzen auf einer Bank.	
13.245	0.68	JENNY	1	speech	regular	address	Forrest	
16.205	0.88	JENNY	1	speech	regular	HS	Ich bin krank.	
20.285	0.44	FORREST	1	speech	asking	question	Was ist?	
20.765	0.6	FORREST	1	speech	asking	question	Hast du Husten?	
21.405	0.8	FORREST	1	speech	asking	question	Bist du erkältet?	
23.725	1.68	JENNY	1	speech	regular	HS	Ich hab so eine Art Virus.	
26.405	1.32	JENNY	1	speech	regular	HS	Und die Ärzte wissen...	
28.085	2.68	JENNY	1	speech	regular	complex	....wissen nicht, was es ist. Sie können nichts dagegen tun. Es gibt nichts.	
32.885	0.72	GIRL IN BACKGROUND	0	non	regular	none	iiiiiiiigh	
36.085	1.56	FORREST	1	speech	exclamation	imperative	Dann komm doch mit mir nach Haus!	
39.885	0.44	FORREST	1	speech	regular	address	Jenny	
40.365	0.52	FORREST	1	speech	regular	none	Du und...	
41.525	1.0	FORREST	1	speech	regular	none	...der kleine Forrest	
42.725	0.84	FORREST	1	speech	regular	HS	Ihr kommt mit in...	
43.965	1.44	FORREST	1	speech	regular	none	...in mein Haus in Greenbow.	
49.445	2.08	FORREST	1	speech	regular	###	Wenn du krank bist, kann ich für dich Sorgen.	
54.325	0.96	JENNY	1	speech	asking	question	Würdest du mich heiraten?	
55.325	0.52	JENNY	1	speech	regular	address	Forrest	
61.885	0.8	FORREST	1	speech	regular	none	Okay	
62.925	2.36	ERZAEHLER	1	speech	regular	HS	Vor Forrests Haus elegant gekleidete Leute.	
64.085	1.64	###	0	speech	regular	HS	Ja, ich wollte erst ein anderes Kleid.	
65.485	3.8	ERZAEHLER	1	speech	regular	HS;NS	Louise, in gelbem Kleid, geht zu Forrest, der nachdenklich etwas abseits steht.	
69.325	0.56	LOUISE	1	speech	regular	address	Forrest	
70.725	0.88	LOUISE	1	speech	regular	HS	Wir müssen anfangen.	
72.405	2.48	ERZAEHLER	1	speech	regular	HS	Jenny kommt aus dem Haus auf die blumengeschmückte Veranda.	
75.165	1.2	ERZAEHLER	1	speech	regular	HS	Forrest geht ihr entgegen.	
76.925	4.6	ERZAEHLER	1	speech	regular	HS	Er trägt einen hellgrauen Anzug mit einem Sträußchen im Knopfloch und eine dunkle geblümte Krawatte.	
82.125	2.32	ERZAEHLER	1	speech	regular	HS	Jenny steigt barfuß die Stufen zu ihm herunter.	
84.885	13.4	WEDDING GUESTS	0	speech	regular			###BG noise###
84.925	4.6	ERZAEHLER	1	speech	regular	HS	Sie trägt ein cremefarbenes schlichtes Brautkleid mit Puffärmeln und einen Blumenkranz im Haar.	
90.125	0.32	JENNY	1	speech	regular	address	Hi	
92.445	0.68	JENNY	1	speech	regular	none	Deine Krawatte	
93.365	0.92	ERZAEHLER	1	speech	regular	HS	Jenny richtet sie.	
98.285	1.36	ERZAEHLER	1	speech	regular	HS	Die beiden blicken zur Zufahrt.	
99.925	2.32	ERZAEHLER	1	speech	regular	none	Aufrecht gehend, auf einen Stock gestützt, kommt...	
102.965	1.04	ERZAEHLER	1	speech	regular	none	...Dan über den Rasen. 	
104.325	1.36	ERZAEHLER	1	speech	regular	HS	Eine Asiatin begleitet ihn.	
104.365	97.16	OST	1	song	instrumental			
105.885	1.36	FORREST	1	speech	exclamation	none	Lt. Dan	###exclamation###
107.965	1.64	ERZAEHLER	1	speech	regular	HS	Zögernd geht er auf das Paar zu.	
110.245	2.24	ERZAEHLER	1	speech	regular	HS	Dan nähert sich langsam mit steifen Schritten.	
113.005	3.68	ERZAEHLER	1	speech	regular	AND	Er hat kurzgeschnittenes Haar, ist glatt rasiert und trägt einen hellen Anzug.	
117.205	2.4	ERZAEHLER	1	speech	regular	HS	Seine Begleiterin ist fast einen Kopf kleiner als er.	
119.845	2.08	ERZAEHLER	1	speech	regular	HS	Sie trägt ein lilafarbenes geblümtes Kleid.	
122.045	1.16	FORREST	1	speech	regular	address	Lt. Dan	
124.765	0.36	LT. DAN	1	speech	regular	address	Hallo	
125.205	0.64	LT. DAN	1	speech	regular	address	Forrest	
126.605	1.68	FORREST	1	speech	regular	HS	Sie haben neue Beine.	
128.965	0.72	FORREST	1	speech	regular	none	Neue Beine	
129.725	0.76	JENNY	1	non	regular	none	mmhmm	
130.725	0.44	LT. DAN	1	speech	regular	none	Ja	
131.245	1.2	LT. DAN	1	speech	regular	HS	Ich hab neue Beine.	
132.645	1.24	ERZAEHLER	1	speech	regular	HS	Er zeigt seine Prothese.	
133.925	1.68	LT. DAN	1	speech	regular	none	Maßarbeit, Titaniumlegierung	
135.885	1.2	ERZAEHLER	1	speech	regular	HS	Sie steckt in Schuh und Socke.	
137.085	1.44	LT. DAN	1	speech	regular	HS	Sowas benutzen sie in der Raumfahrt.	
142.725	1.24	FORREST	1	speech	regular	none	Zauberbeine	
146.005	0.44	LT. DAN	1	speech	regular	none	Das...	
148.045	0.96	LT. DAN	1	speech	regular	HS	...ist meine Verlobte.	
149.565	0.6	LT. DAN	1	speech	regular	none	Susan	
152.565	1.72	FORREST	1	speech	regular	address	Lt. Dan	
155.365	1.0	SUSAN	1	speech	regular	HS	Hallo, Forrest	
156.485	0.96	ERZAEHLER	1	speech	regular	HS	Sie gibt ihm die Hand.	
157.965	1.0	FORREST	1	speech	regular	address	Lt. Dan	
159.965	1.04	FORREST	1	speech	regular	HS	Das ist meine Jenny.	
161.485	0.48	JENNY	1	speech	regular	HS	Hallo	
162.805	1.72	JENNY	1	speech	regular	HS;NS	Es freut mich, Sie endlich kennen zu lernen.	
164.885	0.04	JENNY	1	non	regular	none		
165.365	2.24	ERZAEHLER	1	speech	regular	AND	Sie reicht Dan die Hand und küsst ihn auf die Wange.	
167.885	1.08	ERZAEHLER	1	speech	regular	HS	Dan sieht Forrest an.	
169.245	1.0	ERZAEHLER	1	speech	regular	HS	Der schmunzelt stolz.	
172.045	0.56	LT. DAN	1	non	regular	none	hach	
173.245	0.6	ERZAEHLER	1	speech	regular	none	Im Garten	
174.765	1.32	MINISTER	0	speech	regular	question;address	Willst du, Forrest...	
176.525	1.52	MINISTER	0	speech	asking	question	Jenny zu deiner Frau nehmen?	
180.405	2.92	MINISTER	0	speech	regular	complex	Und du, Jenny, willst du Forrest zu deinem Mann nehmen?	
184.885	1.04	MINISTER	0	speech	regular	NS	Da es so ist,	
186.285	2.48	MINISTER	0	speech	regular	HS	Erkläre ich euch hiermit zu Mann und Frau.	
190.085	3.2	ERZAEHLER	1	speech	regular	HS	Trockenes Laub weht über die von mächtigen Bäumen gesäumte Zufahrt.	
194.725	3.88	ERZAEHLER	1	speech	regular	HS	Zwischen den Bäumen spazieren Jenny und Forrest Händchen haltend auf das Haus zu.	
198.965	2.12	ERZAEHLER	1	speech	regular	AND	Ihr Sohn hebt etwas auf und gibt es seinem Vater. 	
201.565	1.08	ERZAEHLER	1	speech	regular	HS	Der nimmt ihn an die Hand.	
204.285	3.88	ERZAEHLER	1	speech	regular	HS	Im Haus kommt Forrest mit einem Frühstückstablett ins ehemalige Schlafzimmer seiner Mutter.	
209.325	3.68	ERZAEHLER	1	speech	regular	AND;NS	Abrupt bleibt er stehen und starrt auf Jenny, die reglos im Bett liegt.	
213.325	1.48	ERZAEHLER	1	speech	regular	HS	Ihr Kopf ruht auf mehreren Kissen.	
216.045	0.96	ERZAEHLER	1	speech	regular	HS	Sie öffnet die Augen.	
218.245	0.72	JENNY	1	speech	regular	address	Hey	
219.485	0.32	FORREST	1	speech	regular	address	Hey	
225.365	2.24	ERZAEHLER	1	speech	regular	HS	Er stellt das Tablett auf ein Tischchen neben dem Bett...	
229.205	1.28	ERZAEHLER	1	speech	regular	HS	...und schiebt ein Fenster hoch.	
233.045	0.88	JENNY	1	speech	regular	address	Du, Forrest	
234.365	1.24	ERZAEHLER	1	speech	regular	HS	Er setzt sich auf einen Stuhl.	
235.845	2.52	ERZAEHLER	1	speech	regular	AND	Jenny dreht sich zu ihm und stützt den Kopf in die Hand.	
239.805	1.36	JENNY	1	speech	asking	question	Hattest du Angst in Vietnam?	
243.245	0.56	FORREST	1	speech	regular	none	Ja	
245.085	0.68	FORREST	1	speech	regular	HS	Ich meine, ich...	
246.645	0.88	FORREST	1	speech	regular	HS	...ich weiß es nicht.	
247.565	1.28	ERZAEHLER	1	speech	regular	none	Forrest nachts in Vietnam	
248.885	80.84	OST	0	song	instrumental			
249.085	12.92	FORREST (V.O.)	1	speech	regular	HS	Manchmal hat es so lang aufgehört zu regnen,...	
252.445	1.48	FORREST (V.O.)	1	speech	regular	NS	...dass man die Sterne sehen konnte.	
254.285	2.72	ERZAEHLER	1	speech	regular	AND	Er nimmt den Stahlhelm ab und sieht zu einem Wolkenloch am Himmel.	
257.085	0.96	FORREST (V.O.)	1	speech	regular	HS	Und dann war es schön.	
258.805	0.76	ERZAEHLER	1	speech	regular	HS	Jenny lächelt.	
263.125	1.64	FORREST (V.O.)	1	speech	regular	###	Es war so, als wenn die Sonne schlafen geht.	
264.845	0.96	FORREST (V.O.)	1	speech	regular	none	Unten am Fluss.	
265.885	0.92	ERZAEHLER	1	speech	regular	HS	Er steht auf dem Kutter.	
266.965	0.68	FORREST (V.O.)	1	speech	regular	HS	Es waren...	
268.325	2.4	FORREST (V.O.)	1	speech	regular	HS	Es waren millionen Glitzerlichter auf dem Wasser.	
270.805	1.52	ERZAEHLER	1	speech	regular	HS	In einem See spiegeln sich Gipfel.	
272.405	1.2	FORREST (V.O.)	1	speech	regular	none	Oder so wie der Bergsee	
273.645	0.84	ERZAEHLER	1	speech	regular	HS	Er läuft daran entlang.	
274.485	3.16	FORREST (V.O.)	1	speech	regular	HS	Der war so klar.	
275.725	0.36	FORREST (V.O.)	1	speech	regular	address	Jenny	
276.125	1.56	FORREST (V.O.)	1	speech	regular	HS;NS	Es hat so ausgesehen, als ob da...	
278.365	1.16	FORREST (V.O.)	1	speech	regular	NS	...zwei Himmel wären.	
279.925	1.04	FORREST (V.O.)	1	speech	regular;addendum	none	Einer auf dem anderen	
283.325	2.32	FORREST (V.O.)	1	speech	regular	none;NS	Dann in der Wüste, kurz bevor die Sonne rauskam,...	
286.005	1.88	ERZAEHLER	1	speech	regular	none	Forrest mit zotteligem Haar und Bart	
288.485	0.8	FORREST (V.O.)	1	speech	regular	HS	Ich wusste nie,...	
289.845	0.36	FORREST (V.O.)	1	speech	regular	none	...wo....	
291.125	1.16	FORREST (V.O.)	1	speech	regular	NS	...der Himmel aufhörte.	
293.325	1.52	FORREST (V.O.)	1	speech	regular	NS	Und die Erde anfing.	
296.525	1.04	FORREST (V.O.)	1	speech	regular	HS	Es war wunderschön.	
298.005	1.96	ERZAEHLER	1	speech	regular	HS	Am Bett sieht Forrest abwesend vor sich hin.	
300.165	1.56	ERZAEHLER	1	speech	regular	HS	Jenny blickt versonnen zum Fenster.	
302.725	1.96	JENNY	1	speech	regular	HS;NS	Ich wünschte, ich wäre mit dir dagewesen.	
306.685	0.72	ERZAEHLER	1	speech	regular	HS	Er schaut sie an.	
308.725	0.84	FORREST	1	speech	regular	HS	Das warst du.	
311.365	1.28	ERZAEHLER	1	speech	regular	HS	Jenny sieht ihm in die Augen.	
314.725	2.0	ERZAEHLER	1	speech	regular;addendum	AND	lächelt traurig und nimmt seine Hand.	
320.325	0.88	JENNY	1	speech	regular	HS	Ich liebe dich.	
322.605	1.6	ERZAEHLER	1	speech	regular	HS	Forrest blickt sie zärtlich an.	
326.005	2.24	FORREST (V.O.)	1	speech	regular	HS	Du bist an einem Samstag morgen gestorben.	
328.325	2.48	ERZAEHLER	1	speech	regular	HS;NS	Er steht am Grabstein, um den ein Kranz aus Steinen liegt.	
330.965	0.96	FORREST	1	speech	regular	none	Und ich hab dich hier....	
332.645	1.68	FORREST	1	speech	regular	HS	...unter unserem Baum begraben lassen.	
339.125	1.2	FORREST	1	speech	regular	HS	Und ich habe das...	
340.965	3.16	FORREST	1	speech	regular	HS	...Haus von deinem Vater mit dem Bulldozer einreißen lassen.	
344.605	0.96	ERZAEHLER	1	speech	regular	HS	Er schaut dabei zu.	
347.565	0.6	FORREST (V.O.)	1	speech	regular	none	Mama	
350.365	1.24	FORREST	1	speech	regular;addendum	HS	...hat immer gesagt:	
352.525	2.6	FORREST	1	speech	regular	HS	Der Tod gehört nun mal zum Leben dazu.	
358.125	1.68	FORREST	1	speech	regular	HS;NS	Ich wünschte, es wäre anders.	
363.005	1.24	FORREST	1	speech	regular	none	Der kleine Forrest,...	
365.965	1.4	FORREST	1	speech	regular	HS	Er macht sich prächtig.	
367.445	0.4	ERZAEHLER	1	speech	regular	none	Abends	
367.925	1.72	ERZAEHLER	1	speech	regular	HS;NS	Er sitzt bei seinem Sohn, der liest.	
369.445	1.92	FORREST (V.O.)	1	speech	regular	HS	Er geht nun bald wieder in die Schule.	###beginning in movie###
370.685	5.8	FORREST JR.	0	speech	regular	complex	...er war sicht nicht ganz sicher, überall wo sie hingingen waren die neuen Gäste...	
373.605	1.84	FORREST	1	speech	regular	HS	Ich mache jeden Tag sein Frühstück für ihn.	
375.565	0.84	FORREST	1	speech	regular	none	Das Mittagessen	
376.685	0.92	FORREST	1	speech	regular	none	Und das Abendessen	
379.565	0.72	FORREST	1	speech	regular	HS	Ich pass auf.	
382.165	1.0	FORREST	1	speech	regular	NS	...dass er sich kämt und...	###or completion?###
383.685	1.72	FORREST	1	speech	regular	NS	...sich jeden Tag die Zähne putzt.	
387.085	0.52	FORREST	1	non	regular	none	ach	
388.085	1.8	FORREST	1	speech	regular	HS	Und ich bring ihm Ping Pong Spielen bei.	
390.485	1.44	ERZAEHLER	1	speech	regular	HS	Auf der Veranda steht eine Platte.	
391.925	0.68	FORREST	1	speech	regular	none	Okay	
393.085	1.04	FORREST (V.O.)	1	speech	regular	HS	Er macht es sehr gut.	
394.045	1.32	FORREST	1	speech	regular	address	Ok, Forrest, jetzt du	
396.005	0.64	FORREST	1	non	regular	none	haeeeeh	
